service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
245073_117361,1,1,1,1,1,1,1,20240609,20241214
245073_117365,0,0,0,0,1,0,0,20240614,20240628
245073_117366,0,0,0,0,1,0,0,20241004,20241031
245073_117367,0,0,0,0,1,0,0,20241108,20241213
245073_117376,1,1,1,1,1,0,0,20240610,20241212
245073_117383,1,1,1,1,1,1,1,20240330,20240608
245073_117384,1,1,1,1,1,1,1,20240609,20241214
245073_117387,1,1,1,1,1,1,1,20240330,20240608
245073_117389,1,1,1,1,1,1,1,20240609,20241214
245073_117391,1,1,1,1,1,0,1,20240330,20240607
245073_117393,1,1,1,1,1,0,1,20240609,20241213
245073_117395,0,0,0,0,0,1,0,20240330,20240608
245073_117396,0,0,0,0,0,1,0,20240615,20241214
245073_117403,1,1,1,1,1,1,1,20240330,20240608
245073_117404,1,1,1,1,1,1,1,20240514,20240516
245073_117405,1,1,1,1,1,1,1,20240609,20241214
245073_117406,1,1,1,1,1,1,1,20240330,20241214
245073_117407,1,1,1,1,1,1,1,20240330,20241214
245073_117408,1,1,1,1,1,1,1,20240330,20241214
245074_115748,1,1,1,1,1,1,1,20240503,20240503
245074_115749,0,0,0,0,1,0,0,20240517,20240607
245075_115753,0,0,0,0,0,1,1,20240330,20240608
245075_115754,0,0,0,0,0,1,1,20240609,20241214
245075_115872,1,1,1,1,1,1,1,20240330,20241214
245075_115878,1,1,1,1,1,1,1,20240330,20241214
245075_115893,1,1,1,1,1,0,0,20240330,20241213
245075_115914,1,1,1,1,1,1,1,20240330,20241214
245075_115923,1,1,1,1,1,1,1,20240330,20240608
245075_115924,1,1,1,1,1,1,1,20240609,20241214
245075_115932,0,0,0,0,0,1,1,20240330,20240608
245075_115933,0,0,0,0,0,1,1,20240609,20241214
245075_115949,1,1,1,1,1,1,1,20240330,20240608
245075_115950,1,1,1,1,1,1,1,20240609,20241214
245075_116233,0,0,0,0,0,1,1,20240330,20240608
245075_116234,0,0,0,0,0,1,1,20240609,20241214
245076_115756,0,0,0,0,0,1,1,20240330,20241214
245076_115763,1,1,1,1,1,0,0,20240330,20241213
245076_115764,1,1,1,1,1,1,1,20240609,20241214
245076_115771,1,1,1,1,1,0,0,20240330,20240607
245076_115772,1,1,1,1,1,0,0,20240610,20241213
245076_115774,1,1,1,1,1,1,1,20240330,20240608
245076_115775,1,1,1,1,1,1,1,20240609,20241214
245076_115777,1,1,1,1,1,1,1,20240330,20240608
245076_115778,1,1,1,1,1,1,1,20240609,20241214
245076_115780,1,1,1,1,1,1,1,20240330,20240608
245076_115781,1,1,1,1,1,1,1,20240609,20241214
245076_115783,1,1,1,1,1,0,0,20240330,20241213
245076_115785,0,0,0,0,0,1,1,20240330,20240608
245076_115786,0,0,0,0,0,1,1,20240609,20241214
245076_115788,0,0,0,0,0,1,1,20240330,20240608
245076_115789,1,1,1,1,1,0,0,20240330,20240607
245076_115790,1,1,1,1,1,1,1,20240609,20241214
245076_115792,0,0,0,0,0,0,1,20240330,20240602
245076_115793,0,0,0,0,0,0,1,20240609,20241208
245076_115794,1,1,1,1,1,1,1,20241111,20241111
245076_115796,1,1,1,1,1,1,1,20240330,20240608
245076_115797,1,1,1,1,1,1,1,20240609,20241214
245076_115802,0,0,0,0,0,1,0,20240330,20240608
245076_115803,0,0,0,0,0,1,0,20240615,20241214
245076_115805,1,1,1,1,1,0,0,20240330,20240607
245076_115806,1,1,1,1,1,0,0,20240610,20241213
245076_115815,0,0,0,0,0,1,1,20240330,20240608
245076_115816,0,0,0,0,0,1,1,20240609,20241214
245076_115818,1,1,1,1,1,0,0,20240330,20240607
245076_115819,1,1,1,1,1,0,0,20240610,20241213
245076_115821,0,0,0,0,0,1,1,20240330,20240608
245076_115822,0,0,0,0,0,1,1,20240609,20241214
245076_115825,0,0,0,0,0,1,1,20240330,20240608
245076_115826,1,1,1,1,1,0,0,20240330,20240607
245076_115827,1,1,1,1,1,1,1,20240609,20241214
245076_115829,1,1,1,1,1,1,1,20240330,20240608
245076_115830,1,1,1,1,1,1,1,20240609,20241214
245076_115832,1,1,1,1,1,1,1,20240330,20240608
245076_115833,1,1,1,1,1,1,1,20240609,20241214
245076_115835,1,1,1,1,1,1,1,20240330,20240608
245076_115836,1,1,1,1,1,1,1,20240609,20241214
245076_115838,1,1,1,1,1,1,1,20240330,20240608
245076_115839,1,1,1,1,1,1,1,20240609,20241214
245076_115844,1,1,1,1,1,1,1,20240402,20240405
245076_115845,1,1,1,1,1,0,0,20240408,20240607
245076_115846,1,1,1,1,1,1,1,20240603,20240606
245076_115847,1,1,1,1,1,1,1,20240609,20241214
245076_116263,0,0,0,0,0,1,1,20240609,20240929
245076_116285,0,0,0,0,0,1,1,20240427,20240608
245076_116290,0,0,0,0,0,1,1,20240427,20240608
245076_116291,0,0,0,0,0,1,1,20240609,20240929
245076_116326,1,1,1,1,1,0,0,20240330,20240607
245076_116327,1,1,1,1,1,0,0,20240610,20241213
245076_116332,1,1,1,1,1,0,0,20240330,20240607
245076_116334,1,1,1,1,1,0,0,20240610,20241213
245076_116380,1,1,1,1,1,0,0,20240330,20240607
245076_116381,1,1,1,1,1,0,0,20240610,20241213
245076_116390,1,1,1,1,1,0,0,20240330,20240607
245076_116391,1,1,1,1,1,0,0,20240610,20241213
245077_115799,1,1,1,1,1,0,0,20240330,20240607
245077_115800,1,1,1,1,1,0,0,20240610,20241213
245077_115812,1,1,1,1,1,0,0,20240330,20240607
245077_115813,1,1,1,1,1,0,0,20240610,20241213
245077_115842,0,0,0,0,0,1,1,20240330,20240608
245077_115849,1,1,1,1,1,1,1,20240330,20240608
245077_115850,1,1,1,1,1,1,1,20240609,20241214
245078_115808,1,1,1,1,1,1,1,20240330,20240608
245078_115809,1,1,1,1,1,1,1,20240604,20240607
